TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE
ods_mariadb_2b,ods_a168_payment_setting,BASE TABLE
ods_mariadb_2b,ods_a168_payment_type,BASE TABLE
ods_mariadb_2b,ods_a168_permissionrole,BASE TABLE
ods_mariadb_2b,ods_a168_permissions,BASE TABLE
ods_mariadb_2b,ods_a168_permissionsPage,BASE TABLE
ods_mariadb_2b,ods_a168_permissionsPageRoles,BASE TABLE
ods_mariadb_2b,ods_a168_permissionsgroup,BASE TABLE
ods_mariadb_2b,ods_a168_play_set,BASE TABLE
ods_mariadb_2b,ods_a168_realtimebet,BASE TABLE
ods_mariadb_2b,ods_a168_realtimelobby,BASE TABLE
ods_mariadb_2b,ods_a168_realtimelog,BASE TABLE
ods_mariadb_2b,ods_a168_risklist,BASE TABLE
ods_mariadb_2b,ods_a168_roles,BASE TABLE
ods_mariadb_2b,ods_a168_shuffle_gid,BASE TABLE
ods_mariadb_2b,ods_a168_shuffle_info,BASE TABLE
ods_mariadb_2b,ods_a168_site,BASE TABLE
ods_mariadb_2b,ods_a168_sms_setting,BASE TABLE
ods_mariadb_2b,ods_a168_stream,BASE TABLE
ods_mariadb_2b,ods_a168_subagent_permissionrole,BASE TABLE
ods_mariadb_2b,ods_a168_symbol,BASE TABLE
ods_mariadb_2b,ods_a168_tablelimit,BASE TABLE
ods_mariadb_2b,ods_a168_tablelimit_third,BASE TABLE
ods_mariadb_2b,ods_a168_temp_id_list,BASE TABLE
ods_mariadb_2b,ods_a168_tip,BASE TABLE
ods_mariadb_2b,ods_a168_urllist,BASE TABLE
ods_mariadb_2b,ods_a168_wallet_dtl,BASE TABLE
ods_mariadb_2b,ods_a168_wallet_feedbackerr,BASE TABLE
ods_mariadb_2b,ods_a168_wallet_reporter,BASE TABLE
ods_mariadb_2b,ods_a168_wallet_reporter_copy,BASE TABLE
ods_mariadb_2b,ods_a168_wechat_url,BASE TABLE
ods_mariadb_2b,ods_a168_white_list,BASE TABLE
ods_mariadb_2b,sync_checkpoint,BASE TABLE
